P,T,Package,Snippet,Used?,Runs?,Error
5,1,graph-data-structure,"var graph = Graph()
  .addEdge(""socks"", ""shoes"")
  .addEdge(""shirt"", ""belt"")
  .addEdge(""shirt"", ""tie"")
  .addEdge(""tie"", ""jacket"")
  .addEdge(""belt"", ""jacket"")
  .addEdge(""pants"", ""shoes"")
  .addEdge(""underpants"", ""pants"")
  .addEdge(""pants"", ""belt"");

// prints [ ""underpants"", ""pants"", ""shirt"", ""tie"", ""belt"", ""jacket"", ""socks"", ""shoes"" ]
console.log(graph.topologicalSort());",1,0,graph not defined
5,2,file-reader,"var read = require('file-reader');
read('*.js');
//=> { a: [Function: aaa], b: [Function: bbb], c: [Function: ccc] }

read('*.txt');
//=> { a: 'AAA', b: 'BBB', c: 'CCC' }

read('*.{yml,json}');
//=> { a: { a: 'a' }, b: { b: 'b' }, c: { c: 'c' } }",1,1,
5,2,file-reader,"var read = require('file-reader');
read.file('a.js');
//=> { a: [Function: foo] }

read.file('a.txt');
//=> { a: 'foo' }\n\nread('a.yml');
//=> { a: { foo: 'bar' } }",1,0,unknown file
6,1,named-merge-sort,"var mergeSort = require('named-merge-sort');

var things = [
    '2013-01',
    '2014-12',
    '2010-10',
    '2011-02',
    '2010-05',
    '2010-07',
    '2011-11'
];
    
things = mergeSort(things, 0);
console.dir(things);

things = mergeSort(things, 0, 'desc');
console.dir(things);

var things = [
    {name: 'Peter'},
    {name: 'Lenny'},
    {name: 'Scott'}
];
    
things = mergeSort(things, 'name');
console.dir(things);

things = mergeSort(things, 'name', 'desc');
console.dir(things);",1,1,
6,2,promisify-file-reader,"const fileReader = new PromisifyFileReader()
const result = await fileReader.readAsArrayBuffer(file)",1,0,await
6,2,promisify-file-reader,const result = await PromisifyFileReader.readAsArrayBuffer(file),0,0,await
6,2,promisify-file-reader,"const result = await PromisifyFileReader.arrayBuffer(file
)// => same as readAsArrayBuffer",0,0,await
6,2,promisify-file-reader,"// import default
import PromisifyFileReader from 'promisify-file-reader'
// import named
import {
  arrayBuffer,
  // ...
} from 'promisify-file-reader'
// import both
import PromisifyFileReader, {
  arrayBuffer,
  // ...
} from 'promisify-file-reader'",0,0,import
6,2,promisify-file,"import PromisifyFile from 'promisify-file';
(async () => {
  const testFile = new File(
    ['hello from promisify-file.txt'],
    'promisify-file.txt',
    {
      type: 'text/plain',
      lastModified: Date.now()
    }
  )
const promisifyFile = new PromisifyFile(file)
  try {
    console.log(await promisifyFile.text()) // print `hello from promisify-file.txt`
} catch (err) {
    console.error(err)
  }
})()",0,0,import
6,2,promisify-file,"let promisifyFile = new PromisifyFile(data, options)",0,0,promisifyfile undefined
6,2,promisify-file,"let promisifyFile = await PromisifyFile.from(data, options)",0,0,await
6,2,promisify-file,"promisifyFile.arrayBuffer()
// optional `encoding` use in `FileReader.readAsText`
promisifyFile.text([encoding])
  
promisifyFile.dataURL()

promisifyFile.binaryString()",0,0,promisifyfile undefined
6,2,promisify-file,"promisifyFile.int8Array([byteOffset [, length]])

promisifyFile.uint8Array([byteOffset [, length]])

promisifyFile.uint8ClampedArray([byteOffset [, length]])

promisifyFile.int16Array([byteOffset [, length]])
  
promisifyFile.uint16Array([byteOffset [, length]])
  
promisifyFile.uint32Array([byteOffset [, length]])
  
promisifyFile.float32Array([byteOffset [, length]])
  
promisifyFile.float64Array([byteOffset [, length]])",0,0,unexpected token
6,2,promisify-file,"promisifyFile.dataView([byteOffset [, length]])",0,0,unexpected token
6,2,promisify-file,promisifyFile.blob([options]]),0,0,promisifyfile undefined
6,2,promisify-file,"promisifyFile.file([name [, options]])",0,0,promisifyfile undefined
6,2,promisify-file,"promisifyFile.json([encoding [, reviver]])",0,0,promisifyfile undefined
6,2,promisify-file,promisifyFile.url(),0,0,promisifyfile undefined
6,2,promisify-file,promisifyFile.image(),0,0,promisifyfile undefined
6,2,promisify-file,"promisifyFile.imageBitmap([options])
promisifyFile.imageBitmap(sx, sy, sw, sh[, options])",0,0,promisifyfile undefined
6,2,promisify-file,"promisifyFile.imageData([sx = 0[, sy = 0[, sw = image.width [, sh = image.height]]]])",0,0,promisifyfile undefined
6,2,promisify-file,"promisifyFile.document([encoding [, overrideMimeType]])
promisifyFile.xml([encoding]) // shortcut for promisifyFile.document(encoding, 'application/xml')
promisifyFile.svg([encoding]) // shortcut for promisifyFile.document(encoding, 'image/svg+xml')
promisifyFile.html([encoding]) // shortcut for promisifyFile.document(encoding, 'text/html')",0,0,unknown token
6,2,promisify-file,"import PromisifyFile from 'promisify-file'
  ;(async () => {
    const testFile = new File(
      ['hello from promisify-file.txt'],
      'promisify-file.txt',
      {
        type: 'text/plain',
        lastModified: Date.now()
      }
    )
      
const promisifyFile = new PromisifyFile(file)
  try {
    console.log(await promisifyFile.text()) // print `hello from promisify-file.txt`
} catch (err) {
    console.error(err)
  }
  })()",1,0,import
6,2,fs-readfile-promise,"const readFilePromise = require('fs-readfile-promise');

(async () => {
  const buffer = await readFile('path/to/a/file');
  buffer.toString(); //=> '... file contents ...'
})();",1,0,readfile not defined
7,1,csv-parser,"const csv = require('csv-parser');
const fs = require('fs');

fs.createReadStream('data.csv')
  .pipe(csv())
  .on('data', (row) => {
    console.log(row);
  })
  .on('end', () => {
    console.log('CSV file successfully processed');
  });",0,0,file unknown
7,1,csv-parser,"const csv = require('csv-parser')
const fs = require('fs')
const results = [];

fs.createReadStream('data.csv')
  .pipe(csv())
  .on('data', (data) => results.push(data))
  .on('end', () => {
    console.log(results);
    // [
    //   { NAME: 'Daffy Duck', AGE: '24' },
    //   { NAME: 'Bugs Bunny', AGE: '22' }
    // ]
  });",0,0,file unknown
7,1,neat-csv,const neatCsv = require('neat-csv');,0,0,require not supported
7,1,neat-csv,"const fs = require('fs')

fs.readFile('./file.csv', async (err, data) => {
  if (err) {
    console.error(err)
    return
  }
  console.log(await neatCsv(data))
})",0,0,neatcsv undefined
7,1,objects-to-csv,const ObjectsToCsv = require('objects-to-csv'),1,1,
7,1,objects-to-csv,const csv = new ObjectsToCsv(list),1,0,objects undefined
7,1,objects-to-csv,await csv.toDisk('./list.csv'),1,0,csv undefined
7,1,objects-to-csv,"await csv.toDisk('./list.csv', { append: true })",0,0,await
7,1,objects-to-csv,"// Write to CSV File
const writeToCsv = async (data) => {
  const csv = new ObjectsToCsv(data);// Save to file:
  await csv.toDisk('./pokedex.csv');
}",0,1,
7,2,sort-algorithms-js,"const {
  bubbleSort,
  selectionSort,
  insertionSort,
  radixSort,
  heapSort,
  quickSort,
  mergeSort}
  = require('sort-algorithms-js');",1,1,
7,2,sort-algorithms-js,"import {
  bubbleSort,
  selectionSort,
  insertionSort,
  radixSort,
  heapSort,
  quickSort,
  mergeSort
} from 'sort-algorithms-js';",0,0,import
7,2,sort-algorithms-js,"const numbers = [4, 1, 8, 6, -3, -1, 0, 7, -6, 9];

const strings = ['a', 'y', 'i', 'r', 'o', 'w', 'u', 'd', 'e', 'm'];

const objects = [
  { id: 4 }, { id: 1 }, { id: 8 }, { id: 6 }, { id: 3 },
  { id: 2 }, { id: 0 },{ id: 7 }, { id: 5 }, { id: 9 }
];",0,1,
7,2,sort-algorithms-js,"console.log(bubbleSort(numbers));
// [-6, -3, -1, 0, 1, 4, 6, 7, 8, 9]
console.log(bubbleSort(strings));
// ['a', 'd', 'e', 'i', 'm', 'o', 'r', 'u', 'w', 'y']

console.log(bubbleSort(objects, (a, b) => a.id - b.id));
// [{ id: 0 }, { id: 1 }, { id: 2 }, { id: 3 }, { id: 4 }, { id: 5 }, { id: 6 }, { id: 7 }, { id: 8 }, { id: 9 }]",0,0,bubbleSort undefiend
8,1,sequelize,"const { Sequelize, Model, DataTypes } = require('@sequelize/core');
const sequelize = new Sequelize('sqlite::memory:');

class User extends Model {}
User.init({
  username: DataTypes.STRING,
  birthday: DataTypes.DATE
}, { sequelize, modelName: 'user' });

(async () => {
  await sequelize.sync();
  const jane = await User.create({
    username: 'janedoe',
    birthday: new Date(1980, 6, 20)
  });
  console.log(jane.toJSON());
})();",0,1,
8,1,sequelize,"const { Sequelize } = require('@sequelize/core');

// Option 1: Passing a connection URI
const sequelize = new Sequelize('sqlite::memory:') // Example for sqlite
const sequelize = new Sequelize('postgres://user:pass@example.com:5432/dbname') // Example for postgres

// Option 2: Passing parameters separately (sqlite)
const sequelize = new Sequelize({
  dialect: 'sqlite',
  storage: 'path/to/database.sqlite'
});

// Option 3: Passing parameters separately (other dialects)
const sequelize = new Sequelize('database', 'username', 'password', {
  host: 'localhost',
  dialect: /* one of 'mysql' | 'mariadb' | 'postgres' | 'mssql' */
});",1,0,sequalize already declared
8,1,sequelize,"try {
  await sequelize.authenticate();
  console.log('Connection has been established successfully.');
} catch (error) {
  console.error('Unable to connect to the database:', error);
}",1,0,await
8,1,sequelize,"const [results, metadata] = await sequelize.query(""UPDATE users SET y = 42 WHERE x = 12"");",1,0,await
8,1,sequelize,"const { QueryTypes } = require('@sequelize/core');
const users = await sequelize.query(""SELECT * FROM `users`"", { type: QueryTypes.SELECT });
// We didn't need to destructure the result here - the results were returned directly",0,0,await
8,2,csv-writer,"const createCsvWriter = require('csv-writer').createObjectCsvWriter;
const csvWriter = createCsvWriter({
  path: 'path/to/file.csv',
  header: [
    {id: 'name', title: 'NAME'},
    {id: 'lang', title: 'LANGUAGE'}
  ]
});

const records = [
  {name: 'Bob',  lang: 'French, English'},
  {name: 'Mary', lang: 'English'}
];

csvWriter.writeRecords(records)       // returns a promise
.then(() => {
  console.log('...Done');
});

// This will produce a file path/to/file.csv with following contents:
//
//   NAME,LANGUAGE
//   Bob,""French, English""
//   Mary,English",1,0,unknown file
9,1,js-graph-algorithms,"var jsgraphs = require('js-graph-algorithms');
 
var g = new jsgraphs.Graph(6); // 6 is the number vertices in the graph
g.addEdge(0, 5); // add undirected edge connecting vertex 0 to vertex 5
g.addEdge(2, 4);
g.addEdge(2, 3);
g.addEdge(1, 2);
g.addEdge(0, 1);
g.addEdge(3, 4);
g.addEdge(3, 5);
g.addEdge(0, 2);
 
g.node(2).label = 'Hello'; // assigned 'Hello' as label for node 2
g.edge(0, 2).label = 'World'; // edge between 0 and 2
 
console.log(g.V); // display 6, which is the number of vertices in g
console.log(g.adj(0)); // display [5, 1, 2], which is the adjacent list to vertex 0",1,1,
9,1,js-graph-algorithms,"var jsgraphs = require('js-graph-algorithms');
 
var g = new jsgraphs.DiGraph(13); // 13 is the number vertices in the graph
g.addEdge(4,  2); // add directed edge from 4 to 2
g.addEdge(2,  3);
g.addEdge(3,  2);
g.addEdge(6,  0);
g.addEdge(0,  1);
g.addEdge(2,  0);
g.addEdge(11, 12);
g.addEdge(12,  9);
g.addEdge(9, 10);
g.addEdge(9, 11);
g.addEdge(7,  9);
g.addEdge(10, 12);
g.addEdge(11,  4);
g.addEdge(4,  3);
g.addEdge(3,  5);
g.addEdge(6,  8);
g.addEdge(8,  6);
g.addEdge(5,  4);
g.addEdge(0,  5);
g.addEdge(6,  4);
g.addEdge(6,  9);
g.addEdge(7,  6);
 
g.node(2).label = 'Hello'; // assign 'Hello' as label for node 2
g.edge(0, 5).label = 'World'; // edge from 0 to 5
 
console.log(g.V); // display 13, which is the number of vertices in g
console.log(g.adj(0)); // display the adjacency list which are vertices directed from vertex 0",0,1,
9,1,js-graph-algorithms,"var jsgraphs = require('js-graph-algorithms');
var g = new jsgraphs.WeightedGraph(8); // 8 is the number vertices in the graph
g.addEdge(new jsgraphs.Edge(0, 7, 0.16));
g.addEdge(new jsgraphs.Edge(2, 3, 0.17));
g.addEdge(new jsgraphs.Edge(1, 7, 0.19));
g.addEdge(new jsgraphs.Edge(0, 2, 0.26));
g.addEdge(new jsgraphs.Edge(5, 7, 0.28));
g.addEdge(new jsgraphs.Edge(1, 3, 0.29));
g.addEdge(new jsgraphs.Edge(1, 5, 0.32));
g.addEdge(new jsgraphs.Edge(2, 7, 0.34));
g.addEdge(new jsgraphs.Edge(4, 5, 0.35));
g.addEdge(new jsgraphs.Edge(1, 2, 0.36));
g.addEdge(new jsgraphs.Edge(4, 7, 0.37));
g.addEdge(new jsgraphs.Edge(0, 4, 0.38));
g.addEdge(new jsgraphs.Edge(6, 2, 0.4));
g.addEdge(new jsgraphs.Edge(3, 6, 0.52));
g.addEdge(new jsgraphs.Edge(6, 0, 0.58));
g.addEdge(new jsgraphs.Edge(6, 4, 0.93));
 
g.node(2).label = 'Hello'; // assign 'Hello' as label for node 2
g.edge(4, 5).label = 'World'; // edge between node 4 and 5
 
console.log(g.V); // display 13, which is the number of vertices in g
console.log(g.adj(0)); // display the adjacency list which are undirected edges connected to vertex 0",0,1,
9,1,js-graph-algorithms,"var jsgraphs = require('js-graph-algorithms');
var g = new jsgraphs.WeightedDiGraph(8); // 8 is the number vertices in the graph
g.addEdge(new jsgraphs.Edge(0, 7, 0.16));
g.addEdge(new jsgraphs.Edge(2, 3, 0.17));
g.addEdge(new jsgraphs.Edge(1, 7, 0.19));
g.addEdge(new jsgraphs.Edge(0, 2, 0.26));
g.addEdge(new jsgraphs.Edge(5, 7, 0.28));
g.addEdge(new jsgraphs.Edge(1, 3, 0.29));
g.addEdge(new jsgraphs.Edge(1, 5, 0.32));
g.addEdge(new jsgraphs.Edge(2, 7, 0.34));
g.addEdge(new jsgraphs.Edge(4, 5, 0.35));
g.addEdge(new jsgraphs.Edge(1, 2, 0.36));
g.addEdge(new jsgraphs.Edge(4, 7, 0.37));
g.addEdge(new jsgraphs.Edge(0, 4, 0.38));
g.addEdge(new jsgraphs.Edge(6, 2, 0.4));
g.addEdge(new jsgraphs.Edge(3, 6, 0.52));
g.addEdge(new jsgraphs.Edge(6, 0, 0.58));
g.addEdge(new jsgraphs.Edge(6, 4, 0.93));
 
g.node(2).label = 'Hello';
g.edge(4, 5).label = 'World'; // edge from node 4 to node 5
 
console.log(g.V); // display 13, which is the number of vertices in g
console.log(g.adj(0)); // display the adjacency list which are directed edges from vertex 0",0,1,
9,1,js-graph-algorithms,"var jsgraphs = require('js-graph-algorithms');
 
var g = new jsgraphs.Graph(6);
g.addEdge(0, 5);
g.addEdge(2, 4);
g.addEdge(2, 3);
g.addEdge(1, 2);
g.addEdge(0, 1);
g.addEdge(3, 4);
g.addEdge(3, 5);
g.addEdge(0, 2);
var s = 0;
var dfs = new jsgraphs.DepthFirstSearch(g, s);
 
 
for(var v=0; v < g.V; ++v) {
 if(dfs.hasPathTo(v)) {
    console.log(s + "" is connected to "" + v);
    console.log(""path: "" + dfs.pathTo(v));
 } else {
     console.log('No path from ' + s + ' to ' + v);
 }
} ",1,1,
9,2,knex,"knex('table').select()
/* build query … */
/* then use one of utilities: */
.then(one)        // pick exact 1 row
.then(one.maybe)  // pick 0..1 rows
.then(exists)     // true/false depending on rows existence
.then(exists.not) // negated true/false on existence
.then(count)      // pick rows count
.then(project('id')) // compose object with rows by ids",0,0,knex not defined
9,2,knex,"/* create init point for this table queries: */
var accounts = table(knex, 'accounts')
/* `accounts()` creates new query at every invocation */
accounts().select()
accounts(trx).select() /* as a part of transaction `trx` */
accounts.as('alias').select() /* with alias */
accounts.as('alias', trx).select()
/* … then build query … */",0,0,table not defined
9,2,knex,"/* create method */
var create = method(knex, (trx, name) =>
  {
  return accounts(trx).insert({ name })
  })
  /* then use it */
create(trx, 'Name') /* as a part of transaction `trx` */
create('Name') /* new transaction will be started */
create(method.NOTX, 'Name') /* if you don't need transaction at all */
  
/* method can also be curried */
var m = method(knex)
  var create = m((trx, name) => { … })",0,0,unexpected token
9,2,knex,"/* prepare two tables: */
var accounts = table(knex, 'accounts')
  var messages = table(knex, 'messages')
    /* join by accounts.id = messages.user_id: */
var accounts$messages = join(accounts, messages, [ 'id', 'user_id' ])
  /* `accounts$messages()` creates new query at every invocation */
/* then use as simple table */
accounts$messages()
  .select('user_id', 'text')
  .where('user_id', user_id)
  /* as a part of transaction `trx` */
accounts$messages(trx).select()
  /* supported join types: */
join.left(accounts, messages, [ 'id', 'user_id' ])
  join.right(messages, accounts, [ 'id', 'user_id' ])
    join.full(table_a, table_b, [ 'id', 'user_id' ])
      join.cross(table_a, table_b)
        
/* pick predicate: */
join(accounts, messages, [ 'id', '=', 'user_id' ])
  join.left(accounts, messages, [ 'id', '<>', 'user_id' ])
    /* join by accounts.id = messages.id, like NATURAL JOIN: */
join(accounts, messages, 'id')
  
/* join with aliases */
/* accounts as A, messages as M,
this will also pick proper aliases on join predicate
*/
join([ accounts, 'A' ], [ messages, 'M' ], [ 'id', 'user_id' ])
  
/*
* multi-stage join is possible, by passing
* join as the left argument in join().
* different types of joins are supported
*/
var messages_read = table(knex, 'messages_read')
var messages$read = join.left(messages, messages_read, 'id')
var accounts$messages$read = join(messages$read, accounts, [ 'user_id', 'id' ])",0,0,table undefined
9,2,knex,"var accounts = table(knex, 'accounts')
var q = accounts().where('id', '>', 1000)
  /* `query/count` transforms query into COUNT() one */
var qc = count(q) // returning `number`
/* `query/exists` transforms query into EXISTS(SELECT …) */
var qe = exists(q) // returning `boolean`",0,0,table undefined
9,2,knex,"var accounts = table(knex, 'accounts')
/* guarantee one and only one row modification */
accounts()
.where('name', 'not found')
.update('name', 'Not Found')
.then(updated)",0,0,table undefined
9,2,knex,"var accounts = table(knex, 'accounts')
/* preventing too many (or zero) rows deletion */
accounts()
  .delete()
  .then(updated)",0,0,table undefined
9,2,knex,"var accounts = table(knex, 'accounts')
function AlreadyExists (data)
{
  return { error: 'account_already_exists', conflict: data }
}
var id = 1
  accounts()
    .insert({ id, name: 'account' }).catch(...catch_constraint('accounts_pkey', { id }, AlreadyExists))",0,0,table undefined
9,2,knex,"var accounts = table(knex, 'accounts')
  
function AlreadyExists ()
{
  return new TypeError('account_already_exists')
}
accounts()
  .insert({ id: 1, name: 'account' })
  .catch(...catch_constraint('accounts_pkey', AlreadyExists))",0,0,table undefined
9,2,mysql,"var mysql = require('mysql');
var connection = mysql.createConnection({
  host     : 'localhost',
  user     : 'me',
  password : 'secret',
  database : 'my_db'
});

connection.connect();
connection.query('SELECT 1 + 1 AS solution', function (error, results, fields) {
  if (error) throw error;
  console.log('The solution is: ', results[0].solution);
});

connection.end();",1,0,ECONNREFUSED
10,1,txt-reader,var TxtReader = require('txt-reader').TxtReader;,1,1,
10,1,txt-reader,"import { TxtReader } from ""txt-reader""",0,0,import
10,1,txt-reader,var reader = new TxtReader();,1,0,TxtReader undefined
10,1,txt-reader,"reader.loadFile(file[, iteratorConfig])
.progress(function(progress) {
    // onProgress callback
    // progress (number): task progress in Number value from 1-100
})
.then(function(response) {
    // onComplete callback
    // response.timeTaken (number): task time taken in millisecond
    // response.result.lineCount (number): total line number
    // response.result.scope (object): if you assigned an iterator, the iterator ""this"" scope can be accessed here
})
.catch(function(reason) {
    // onFail callback
    // reason (string): failure reason
});",1,0,reader undefined
10,1,load-text-file,"const loadTextFile = require('load-text-file')

loadTextFile('foo.txt').then((text) => {
  console.log(text)
  //=> Hello, World!
})",1,0,
10,2,gotjs,"const { got } = require('gotjs');
 
const friends = got()
    .node({ id: 'person1', name: 'John' })
    .node({ id: 'person2', name: 'Paul' })
    .edge({
        from: 'person1',
        fromType: 'friend',
        to: 'person2',
        toType: 'friend'
    });
 
console.log(friends.state());",0,1,
10,2,gotjs,"function addFriend(fromFriend, toFriend, gotOperator) {
    return gotOperator
        .node(toFriend)
        .edge({
            from: fromFriend.id,
            fromType: 'friend',
            to: toFriend.id,
            toType: 'friend'
        });
}",0,1,
10,2,gotjs,"const { got } = require('gotjs');
 
const john = { id: 'person1', name: 'John' };
const paul = { id: 'person2', name: 'Paul' };
const george = { id: 'person3', name: 'George' };
const ringo = { id: 'person4', name: 'Ringo' };
 
const friends = got().node(john);
const friends1 = addFriend(john, paul, friends);
const friends2 = addFriend(john, george, friends1);
const friends3 = addFriend(john, ringo, friends2);
 
console.log(friends3.state());",0,0,addFreind undefined
10,2,gotjs,"console.log(friends1.state().nodes.person1);
// prints: { id: 'person1', name: 'John' }
 
console.log(friends1.state().nodes.person3);
// prints: undefined
 
console.log(friends2.state().nodes.person3);
// prints: { id: 'person3', name: 'George' }",0,0,friends1 undefined
10,2,gotjs,"const person1FirstState = friends1.state().nodes.person1;
const person1SecondState = friends2.state().nodes.person1;
console.log(person1FirstState === person1SecondState);
// prints: true",0,0,friends1 undefined
10,2,gotjs,"const { got } = require('gotjs');
const R = require('rambda');
 
// Provide a curried version of addFriend
const addFriend = (fromFriend, toFriend) => (gotOperator) => gotOperator
    .node(toFriend)
    .edge({
        from: fromFriend.id,
        fromType: 'friend',
        to: toFriend.id,
        toType: 'friend'
    });
 
const john = { id: 'person1', name: 'John' };
const paul = { id: 'person2', name: 'Paul' };
const george = { id: 'person3', name: 'George' };
const ringo = { id: 'person4', name: 'Ringo' };
 
const johnsGraph = got().node(john);
 
// Pipe mutation operations together and execute them on johnsGraph
const johnsFriends = R.pipe(
    addFriend(john, paul),
    addFriend(john, george),
    addFriend(john, ringo)
)(johnsGraph);
 
console.log(johnsFriends.state());
 
// prints the same state as before",0,1,
10,2,gotjs,"const { got } = require('gotjs');
 
const friends = got({
    nodes: {
        person1: { id: 'person1', name: 'John' },
        person2: { id: 'person2', name: 'Paul' },
        person3: { id: 'person3', name: 'George' },
        person4: { id: 'person4', name: 'Ringo' }
    },
    edges: [{
        from: 'person1',
        fromType: 'friend',
        to: 'person2',
        toType: 'friend'
    },
    {
        from: 'person1',
        fromType: 'friend',
        to: 'person3',
        toType: 'friend'
    },
    {
        from: 'person1',
        fromType: 'friend',
        to: 'person4',
        toType: 'friend'
    }]
});",0,1,
10,2,gotjs,"const person2 = friends.lens('person2').view();
console.log(person2);
 
// prints: { id: 'person2', name: 'Paul' }",0,0,
10,2,gotjs,const johnsFriends = friends.lens('person1').list('friend');,0,0,
10,2,gotjs,"const johnsFriends = friends.lens('person1').list('friend').map(friendLens => friendLens.view());
console.log(johnsFriends);
 
// prints:
// [ { id: 'person2', name: 'Paul' },
//   { id: 'person3', name: 'George' },
//   { id: 'person4', name: 'Ringo' } ]",0,0,
10,2,gotjs,"const { got } = require('gotjs');
 
const humans = got({
    nodes: {
        human1: { id: 'human1', name: 'Anakin' },
        human2: { id: 'human2', name: 'Luke' }
    },
    edges: [{
        from: 'human1',
        fromType: 'father',
        to: 'human2',
        toType: 'son'
    }]
});
 
const lukesFather = humans.lens('human2').first('father').view();
console.log(lukesFather);
 
// prints: { id: 'human1', name: 'Anakin' }",0,1,
10,2,gotjs,"const { got } = require('gotjs');
 
const humans = got({
    nodes: {
        human1: { id: 'human1', name: 'Paul' },
        human2: { id: 'human2' }
    }
});
 
const name1 = humans.lens('human1').prop('name').get();
console.log(name1);
// prints: Paul
 
const name2 = humans.lens('human2').prop('name').get();
console.log(name2);
// prints: undefined",0,1,
10,2,gotjs,"function writeGreeting(lens) {
    // .get() takes a default value as argument
    return lens.prop('name').map(name => 'Greetings to you, ' + name + '! ??').get('There is no name ??');
}
 
console.log(writeGreeting(humans.lens('human1')));
// prints: Greetings to you, Paul! ??
console.log(writeGreeting(humans.lens('human2')));
// prints: There is no name ??",0,0,
10,2,async-depth-first,"var depthFirst = require('async-depth-first')
 
var q = depthFirst()
q.defer(function (cb) {
  console.log('1')
  q.defer(function (cb) {
    console.log('1.1')
    q.defer(function (cb) {
      console.log('1.1.1')
      cb()
    })
    cb()
  })
  q.defer(function (cb) {
    console.log('1.2')
    cb()
  })
  cb()
})
q.defer(function (cb) {
  console.log('2')
  cb()
})
q.done(function (err) {
  console.log('done')
})",1,1,
10,2,async-depth-first,"1
1.1
1.1.1
1.2
2
done",0,0,
10,2,js-graph-algorithms,"var jsgraphs = require('js-graph-algorithms');
 
var g = new jsgraphs.Graph(6); // 6 is the number vertices in the graph
g.addEdge(0, 5); // add undirected edge connecting vertex 0 to vertex 5
g.addEdge(2, 4);
g.addEdge(2, 3);
g.addEdge(1, 2);
g.addEdge(0, 1);
g.addEdge(3, 4);
g.addEdge(3, 5);
g.addEdge(0, 2);
 
g.node(2).label = 'Hello'; // assigned 'Hello' as label for node 2
g.edge(0, 2).label = 'World'; // edge between 0 and 2
 
console.log(g.V); // display 6, which is the number of vertices in g
console.log(g.adj(0)); // display [5, 1, 2], which is the adjacent list to vertex 0",0,1,
10,2,js-graph-algorithms,"var jsgraphs = require('js-graph-algorithms');
 
var g = new jsgraphs.DiGraph(13); // 13 is the number vertices in the graph
g.addEdge(4,  2); // add directed edge from 4 to 2
g.addEdge(2,  3);
g.addEdge(3,  2);
g.addEdge(6,  0);
g.addEdge(0,  1);
g.addEdge(2,  0);
g.addEdge(11, 12);
g.addEdge(12,  9);
g.addEdge(9, 10);
g.addEdge(9, 11);
g.addEdge(7,  9);
g.addEdge(10, 12);
g.addEdge(11,  4);
g.addEdge(4,  3);
g.addEdge(3,  5);
g.addEdge(6,  8);
g.addEdge(8,  6);
g.addEdge(5,  4);
g.addEdge(0,  5);
g.addEdge(6,  4);
g.addEdge(6,  9);
g.addEdge(7,  6);
 
g.node(2).label = 'Hello'; // assign 'Hello' as label for node 2
g.edge(0, 5).label = 'World'; // edge from 0 to 5
 
console.log(g.V); // display 13, which is the number of vertices in g",0,1,
10,2,js-graph-algorithms,"var jsgraphs = require('js-graph-algorithms');
var g = new jsgraphs.WeightedGraph(8); // 8 is the number vertices in the graph
g.addEdge(new jsgraphs.Edge(0, 7, 0.16));
g.addEdge(new jsgraphs.Edge(2, 3, 0.17));
g.addEdge(new jsgraphs.Edge(1, 7, 0.19));
g.addEdge(new jsgraphs.Edge(0, 2, 0.26));
g.addEdge(new jsgraphs.Edge(5, 7, 0.28));
g.addEdge(new jsgraphs.Edge(1, 3, 0.29));
g.addEdge(new jsgraphs.Edge(1, 5, 0.32));
g.addEdge(new jsgraphs.Edge(2, 7, 0.34));
g.addEdge(new jsgraphs.Edge(4, 5, 0.35));
g.addEdge(new jsgraphs.Edge(1, 2, 0.36));
g.addEdge(new jsgraphs.Edge(4, 7, 0.37));
g.addEdge(new jsgraphs.Edge(0, 4, 0.38));
g.addEdge(new jsgraphs.Edge(6, 2, 0.4));
g.addEdge(new jsgraphs.Edge(3, 6, 0.52));
g.addEdge(new jsgraphs.Edge(6, 0, 0.58));
g.addEdge(new jsgraphs.Edge(6, 4, 0.93));
 
g.node(2).label = 'Hello'; // assign 'Hello' as label for node 2
g.edge(4, 5).label = 'World'; // edge between node 4 and 5
 
console.log(g.V); // display 13, which is the number of vertices in g
console.log(g.adj(0)); // display the adjacency list which are undirected edges connected to vertex 0",0,1,
